log_id,treatment_date,cost,garage_name,repair_description,worker_id,license_plate
2000000,2024-02-15,650,Nguyen-Gould Garage,Massive Data,10438,82-404-427
2000001,2023-06-05,2022,Jones Price and Pierce Garage,Massive Data,10246,26-816-147
2000002,2026-01-25,3332,White Ltd Garage,Massive Data,10308,49-223-153
2000003,2024-05-31,4453,Murphy Ltd Garage,Massive Data,10127,46-463-244
2000004,2024-11-01,1785,Johnson Hawkins and Garcia Garage,Massive Data,10386,34-124-274
2000005,2023-04-21,4436,James-Cherry Garage,Massive Data,10033,34-576-35
2000006,2025-06-10,606,Meyer House and Martinez Garage,Massive Data,10146,39-986-182
2000007,2025-03-11,3796,Harmon Peterson and Collins Garage,Massive Data,10482,87-316-270
2000008,2026-02-04,1584,Lee PLC Garage,Massive Data,10214,38-446-45
2000009,2023-06-27,2055,Gallagher Inc Garage,Massive Data,10230,59-669-42
2000010,2024-07-28,1177,Moore and Sons Garage,Massive Data,10046,77-658-490
2000011,2024-04-17,1656,Wallace-Murphy Garage,Massive Data,10437,85-404-292
2000012,2024-08-07,1476,Maxwell Cortez and Ward Garage,Massive Data,10227,30-131-67
2000013,2025-11-21,3245,Castro PLC Garage,Massive Data,10461,67-697-396
2000014,2025-09-22,544,Mendoza Inc Garage,Massive Data,10191,83-503-80
2000015,2023-04-29,2646,Adams LLC Garage,Massive Data,10270,22-896-234
2000016,2023-09-20,3290,Hebert Cox and Schmidt Garage,Massive Data,10267,78-514-110
2000017,2025-10-03,3827,Parsons Fisher and Keith Garage,Massive Data,10125,26-620-307
2000018,2025-02-06,4132,Oliver-Adams Garage,Massive Data,10147,80-761-390
2000019,2025-04-05,3099,Olsen Lynch and White Garage,Massive Data,10161,46-189-452
2000020,2026-02-04,1107,Harris-Smith Garage,Massive Data,10079,41-979-109
2000021,2025-10-23,3809,Smith LLC Garage,Massive Data,10004,69-997-38
2000022,2024-03-09,1384,Cummings Edwards and Lee Garage,Massive Data,10284,29-821-224
2000023,2023-10-06,464,Medina LLC Garage,Massive Data,10247,29-864-430
2000024,2025-03-09,4477,Wright-Smith Garage,Massive Data,10459,67-458-177
2000025,2024-12-14,3799,Beck LLC Garage,Massive Data,10288,10-391-314
2000026,2023-05-22,4125,Rodriguez Inc Garage,Massive Data,10368,53-264-455
2000027,2026-03-11,1787,Miller PLC Garage,Massive Data,10313,14-542-265
2000028,2024-06-30,1006,Jenkins Group Garage,Massive Data,10486,74-207-463
2000029,2025-03-01,1926,Campos PLC Garage,Massive Data,10234,34-912-127
2000030,2024-12-27,3118,Mathis-Henderson Garage,Massive Data,10281,39-921-495
2000031,2023-07-09,476,Hatfield Mcgee and Mcguire Garage,Massive Data,10213,75-538-90
2000032,2023-12-21,4009,Graham-Ramos Garage,Massive Data,10365,36-529-472
2000033,2023-08-22,895,Andrade-Simpson Garage,Massive Data,10051,39-392-422
2000034,2023-04-03,848,Sims Cortez and Le Garage,Massive Data,10348,20-197-272
2000035,2025-06-08,2910,Campos Inc Garage,Massive Data,10038,47-392-78
2000036,2023-06-07,1726,Richardson-Henderson Garage,Massive Data,10335,50-441-96
2000037,2024-03-04,1754,Cooper PLC Garage,Massive Data,10107,82-172-379
2000038,2026-01-15,1131,Smith Davidson and Li Garage,Massive Data,10040,69-884-49
2000039,2025-09-29,4678,Compton and Sons Garage,Massive Data,10207,39-108-481
2000040,2024-03-23,716,Collins-Rogers Garage,Massive Data,10060,26-816-147
2000041,2025-12-28,2068,Hughes-Neal Garage,Massive Data,10068,21-192-27
2000042,2025-10-27,854,York LLC Garage,Massive Data,10207,34-852-339
2000043,2024-06-12,3608,Stevens-Roth Garage,Massive Data,10240,63-561-227
2000044,2023-11-03,1012,Gaines Group Garage,Massive Data,10408,48-750-407
2000045,2025-08-20,929,Smith Group Garage,Massive Data,10507,14-542-265
2000046,2025-11-05,437,Briggs and Sons Garage,Massive Data,10319,80-761-390
2000047,2024-04-04,3316,Mullins-Sandoval Garage,Massive Data,10454,96-414-301
2000048,2023-07-20,4464,Benson-Maynard Garage,Massive Data,10394,19-849-501
2000049,2025-04-09,340,Berry Edwards and Davis Garage,Massive Data,10017,15-404-470
2000050,2023-10-02,494,Macdonald Yoder and Cross Garage,Massive Data,10045,42-834-393
2000051,2023-11-28,809,Lewis-Ware Garage,Massive Data,10407,47-706-273
2000052,2024-12-21,4063,Reed Shepherd and Gonzales Garage,Massive Data,10126,12-969-66
2000053,2024-05-17,4709,Diaz Richards and Buchanan Garage,Massive Data,10070,91-214-59
2000054,2023-09-30,2183,Johnson Kelly and Hughes Garage,Massive Data,10454,86-403-223
2000055,2023-05-19,3386,Romero-Gardner Garage,Massive Data,10313,28-180-451
2000056,2024-06-08,4607,Ball Group Garage,Massive Data,10491,24-612-316
2000057,2025-07-18,2134,Hinton Inc Garage,Massive Data,10191,26-620-307
2000058,2025-10-02,3469,Black-Bishop Garage,Massive Data,10339,34-912-127
2000059,2024-07-10,4604,Thomas-Stanton Garage,Massive Data,10368,34-709-306
2000060,2024-02-09,1358,Brown-White Garage,Massive Data,10087,42-584-276
2000061,2025-04-14,2101,Gray PLC Garage,Massive Data,10455,34-124-274
2000062,2024-08-13,1391,Duran Jones and Smith Garage,Massive Data,10471,16-424-326
2000063,2025-07-08,3977,Miller Morales and Jackson Garage,Massive Data,10258,85-224-252
2000064,2024-04-05,4581,Simpson Price and Lopez Garage,Massive Data,10288,56-408-424
2000065,2025-09-30,2036,Mcdonald Williams and Solis Garage,Massive Data,10423,11-583-228
2000066,2023-03-26,1469,Perry Lynch and Meyer Garage,Massive Data,10389,97-872-324
2000067,2024-02-09,683,Harris-Parks Garage,Massive Data,10245,57-762-325
2000068,2025-03-26,3853,Barnes Inc Garage,Massive Data,10129,66-837-365
2000069,2024-04-16,4266,Garcia Group Garage,Massive Data,10064,36-558-202
2000070,2023-03-26,1073,Sanford LLC Garage,Massive Data,10172,90-292-336
2000071,2024-10-20,3481,Cohen Inc Garage,Massive Data,10145,30-611-113
2000072,2026-02-13,2445,Williams LLC Garage,Massive Data,10506,16-209-187
2000073,2024-08-26,697,Klein-Hines Garage,Massive Data,10376,51-390-330
2000074,2024-05-30,2556,Todd-Young Garage,Massive Data,10140,29-224-131
2000075,2025-05-09,1349,Wade Inc Garage,Massive Data,10169,57-864-293
2000076,2025-02-12,3206,Chavez Hutchinson and Barrett Garage,Massive Data,10258,42-448-205
2000077,2025-01-15,3804,Richardson Ltd Garage,Massive Data,10418,87-746-449
2000078,2024-08-04,2354,Webster and Sons Garage,Massive Data,10047,17-510-323
2000079,2025-01-26,2996,Farmer-Salazar Garage,Massive Data,10356,70-983-117
2000080,2024-07-26,4444,Howard-Fernandez Garage,Massive Data,10015,13-921-48
2000081,2026-01-12,2873,Pugh-Anderson Garage,Massive Data,10073,39-921-495
2000082,2024-12-11,1444,Pollard Ltd Garage,Massive Data,10180,34-476-169
2000083,2023-09-19,3732,Wilson-Arellano Garage,Massive Data,10181,18-138-411
2000084,2025-01-09,3818,Meyer and Sons Garage,Massive Data,10174,58-115-359
2000085,2025-11-26,4084,Mclean Smith and Vargas Garage,Massive Data,10243,92-498-363
2000086,2025-10-07,3582,Schmitt LLC Garage,Massive Data,10349,70-995-492
2000087,2026-02-12,3851,Best-Rodriguez Garage,Massive Data,10148,56-261-395
2000088,2023-05-09,1174,Ferguson LLC Garage,Massive Data,10341,92-198-435
2000089,2024-12-01,201,Richardson Inc Garage,Massive Data,10410,83-903-376
2000090,2023-06-10,3768,Stewart-Garza Garage,Massive Data,10429,82-172-379
2000091,2023-06-03,3437,Martinez-Morgan Garage,Massive Data,10085,60-813-347
2000092,2024-12-01,1687,Griffin LLC Garage,Massive Data,10069,44-163-423
2000093,2024-11-05,230,Brooks Lee and Brown Garage,Massive Data,10243,42-448-205
2000094,2026-02-21,4146,Huang and Sons Garage,Massive Data,10230,67-697-396
2000095,2025-10-13,4371,Colon-Chen Garage,Massive Data,10470,39-366-199
2000096,2025-07-20,615,Martinez Ltd Garage,Massive Data,10391,49-223-153
2000097,2025-12-12,104,Harris-Fleming Garage,Massive Data,10227,73-134-40
2000098,2023-06-27,227,Miller Stewart and Green Garage,Massive Data,10415,31-868-414
2000099,2024-10-21,3102,Hawkins-Jones Garage,Massive Data,10059,80-348-408
2000100,2026-02-26,3664,Decker Ltd Garage,Massive Data,10156,33-115-391
2000101,2023-12-13,3406,Simmons Inc Garage,Massive Data,10414,17-709-04
2000102,2023-06-11,2593,Simmons and Sons Garage,Massive Data,10400,25-271-350
2000103,2024-08-22,298,Cummings Velazquez and Lynch Garage,Massive Data,10107,84-359-168
2000104,2026-03-02,224,Lewis Group Garage,Massive Data,10424,19-849-501
2000105,2023-11-30,3003,Lamb Green and Montgomery Garage,Massive Data,10289,57-864-293
2000106,2023-05-22,2553,Richards Ltd Garage,Massive Data,10149,46-700-74
2000107,2025-09-03,1878,Mclaughlin Spencer and Trevino Garage,Massive Data,10323,34-912-127
2000108,2024-05-19,3169,Grant Saunders and Miles Garage,Massive Data,10271,34-394-62
2000109,2026-01-14,4117,Duncan-Gonzales Garage,Massive Data,10052,48-647-92
