log_id,withdrawal_date,amount_drawn,worker_id,item_code
3000000,2026-03-06,1,10145,ITM-1072
3000001,2024-09-16,2,10242,ITM-1007
3000002,2025-12-21,3,10470,ITM-1074
3000003,2025-01-21,1,10153,ITM-1104
3000004,2024-05-26,2,10453,ITM-1090
3000005,2025-07-28,4,10100,ITM-1065
3000006,2025-02-28,2,10007,ITM-1045
3000007,2025-01-31,4,10298,ITM-1042
3000008,2024-12-02,2,10035,ITM-1037
3000009,2024-06-28,4,10267,ITM-1035
3000010,2025-04-23,5,10298,ITM-1047
3000011,2025-10-09,4,10302,ITM-1067
3000012,2025-05-22,3,10248,ITM-1005
3000013,2024-06-26,3,10317,ITM-1012
3000014,2025-10-23,1,10025,ITM-1062
3000015,2025-05-08,3,10371,ITM-1086
3000016,2025-12-23,5,10208,ITM-1008
3000017,2024-06-18,4,10120,ITM-1098
3000018,2024-11-16,5,10155,ITM-1037
3000019,2024-04-16,1,10393,ITM-1073
3000020,2025-03-23,4,10313,ITM-1099
3000021,2025-06-20,2,10387,ITM-1002
3000022,2025-12-16,1,10033,ITM-1087
3000023,2025-05-13,2,10483,ITM-1026
3000024,2025-10-04,1,10242,ITM-1103
3000025,2024-11-12,5,10116,ITM-1062
3000026,2025-05-09,2,10326,ITM-1038
3000027,2024-11-24,4,10189,ITM-1012
3000028,2024-05-31,2,10269,ITM-1003
3000029,2025-01-27,5,10203,ITM-1053
3000030,2025-11-14,4,10111,ITM-1067
3000031,2024-06-01,1,10404,ITM-1055
3000032,2024-07-08,3,10403,ITM-1005
3000033,2026-01-23,5,10449,ITM-1037
3000034,2024-04-13,1,10142,ITM-1067
3000035,2024-04-15,4,10346,ITM-1024
3000036,2026-02-28,2,10244,ITM-1015
3000037,2025-07-12,2,10443,ITM-1041
3000038,2025-10-16,5,10131,ITM-1051
3000039,2024-10-31,5,10199,ITM-1012
3000040,2025-09-02,1,10262,ITM-1088
3000041,2025-02-09,2,10455,ITM-1043
3000042,2025-03-14,2,10045,ITM-1059
3000043,2024-08-31,1,10137,ITM-1044
3000044,2024-06-07,4,10216,ITM-1060
3000045,2024-12-17,5,10385,ITM-1011
3000046,2026-03-06,1,10487,ITM-1045
3000047,2024-03-20,3,10072,ITM-1059
3000048,2024-08-08,3,10435,ITM-1034
3000049,2024-10-24,5,10274,ITM-1098
3000050,2024-10-02,2,10306,ITM-1058
3000051,2026-03-11,3,10036,ITM-1062
3000052,2024-10-06,3,10491,ITM-1036
3000053,2026-01-15,5,10243,ITM-1007
3000054,2024-06-07,5,10156,ITM-1082
3000055,2025-05-21,5,10317,ITM-1069
3000056,2024-10-28,4,10105,ITM-1040
3000057,2024-07-01,2,10269,ITM-1070
3000058,2025-09-24,1,10354,ITM-1012
3000059,2024-11-22,4,10275,ITM-1077
3000060,2026-03-09,2,10398,ITM-1085
3000061,2024-05-29,3,10424,ITM-1082
3000062,2025-03-18,5,10003,ITM-1102
3000063,2025-03-20,2,10449,ITM-1052
3000064,2025-12-15,3,10127,ITM-1044
3000065,2024-05-12,1,10100,ITM-1081
3000066,2025-12-04,4,10299,ITM-1032
3000067,2025-10-20,2,10205,ITM-1056
3000068,2024-05-24,1,10449,ITM-1055
3000069,2025-07-03,3,10196,ITM-1062
3000070,2025-12-30,4,10032,ITM-1007
3000071,2025-08-10,4,10224,ITM-1098
3000072,2024-04-28,1,10336,ITM-1020
3000073,2025-10-17,5,10056,ITM-1019
3000074,2025-09-02,4,10466,ITM-1075
3000075,2024-09-11,2,10201,ITM-1003
3000076,2025-02-24,2,10171,ITM-1076
3000077,2024-11-30,4,10338,ITM-1081
3000078,2025-01-15,2,10133,ITM-1016
3000079,2025-04-05,3,10173,ITM-1034
3000080,2024-12-22,4,10076,ITM-1058
3000081,2025-04-15,1,10439,ITM-1084
